YEAR,IP_ID,AR_ID,PD,PD_POOL,DFLT_FLAG,DEBT_RATIO,DPD,M_LAST_DPD,non_null_count
2022,CFG053,2795120,0.992526020124204,5.0,1,1.0,1.0,6.0,6.0
2022,NNA451,10210477,2.65693862341e-05,1.0,0,0.804767402013423,,,4.0
2022,VLZ931,24787848,3.5147350098e-06,1.0,0,0.136492514883328,,,4.0
2022,VVF064,35869938,5.8680282113e-06,1.0,0,0.522421287289168,,,4.0
2022,DXH176,71765042,8.378069817e-07,1.0,0,0.295783477293988,,,4.0
2022,LDI179,95504278,2.703948816e-07,1.0,0,0.217917177537778,,,4.0
2022,FTK662,70369878,1.1577276698e-06,1.0,0,0.113672985840319,,,4.0
2022,HOM686,19859742,3.515353195e-07,1.0,0,0.743458939498776,,,4.0
2022,NSI719,11299291,5.125350747e-07,1.0,0,0.1711779557598,,,4.0
2022,VSS623,57146094,0.559008819372173,5.0,1,0.142246467623042,89.0,7.0,6.0
2022,ZCJ487,81594692,0.181931824687146,5.0,1,0.0925995801812451,1.0,10.0,6.0
2022,THZ403,57667060,3.471164895e-07,1.0,0,0.27469704821926,,,4.0
2022,NAY796,14188754,,,0,,,,
2022,UGY512,70573322,0.543805923883975,5.0,1,0.515396363012625,19.0,6.0,6.0
2022,CGC248,28580548,2.192612881e-06,1.0,0,0.19102006987811,,,4.0
2022,KTL458,5303182,1.1374181228e-06,1.0,0,0.96536590925917,,,4.0
2022,RXQ316,54629161,2.567437469e-07,1.0,0,,,,
2022,UAT938,31432312,1.60065258708e-05,1.0,0,0.520670871556995,,,4.0
2022,XIH740,66651330,0.347849334973677,5.0,1,0.260736897600857,123.0,11.0,6.0
2022,NSI520,86988720,1.022281126e-07,1.0,0,0.115083522005293,,,4.0
2022,XHL520,91311709,2.55053592453e-05,1.0,0,0.734788483279909,,,4.0
2022,ABM630,8302079,,,0,,,,
2022,CJK990,25830009,0.997612550740648,5.0,1,0.805599231752336,77.0,2.0,6.0
2022,OZA757,3883208,1.826875114e-07,1.0,0,0.136253905157584,,,4.0
2022,ZJR344,11000809,1.9941351897e-06,1.0,0,0.0556242479326818,,,4.0
2022,BHU326,72005566,2.539072785e-07,1.0,0,0.0996775419474867,,,4.0
2022,OUZ966,7865584,2.322734716e-06,1.0,0,0.893412679623228,,,4.0
2022,DIN352,87999634,8.0276474701e-06,1.0,0,1.0,,,4.0
2022,YZH217,42040575,1.82918128e-06,1.0,0,0.0546363935473288,,,4.0
2022,ZNF314,12109373,5.1629783016e-06,1.0,0,0.815358616207592,,,4.0
2022,DQD518,49107867,3.8722934814e-06,1.0,0,0.072515266819346,,,4.0
